intervalo,estimativa,resposavel,subtarefas,atrasado
4,0,108,0,1
0,0,138,0,1
7,0,140,0,0
9,0,140,0,0
14,0,140,0,0
16,0,140,0,0
10,0,127,0,0
0,0,138,0,1
0,0,138,0,1
2,0,169,0,0
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
16,8,0,0,1
16,0,0,0,1
16,5,15,0,0
1,0,128,0,0
15,2,128,0,0
1,0,128,0,0
1,0,128,0,1
1,0,128,0,0
1,0,128,0,0
1,5,128,0,1
1,0,128,0,0
0,0,138,0,1
0,0,138,0,1
0,3,128,0,1
0,3,128,0,1
0,0,0,0,0
0,0,128,0,1
8,0,138,0,1
0,0,138,0,0
0,0,138,0,1
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
0,0,0,0,1
11,5,169,0,1
0,0,140,0,0
11,5,169,0,1
0,0,0,0,1
4,0,134,0,0
4,0,116,0,1
11,5,141,0,1
11,8,128,0,1
11,0,128,9,1
6,0,140,0,0
27,0,140,0,0
10,0,128,0,0
2,0,116,0,1
2,0,116,0,1
9,0,108,2,1
9,5,169,0,1
8,8,169,0,1
8,5,169,0,1
8,5,169,0,1
8,5,169,0,1
0,0,138,0,1
0,0,138,0,1
0,0,116,0,1
7,0,15,0,0
0,0,138,0,1
0,0,138,0,0
11,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
11,2,116,0,0
11,5,116,0,0
11,5,159,0,0
11,3,116,0,0
4,0,118,0,1
0,0,138,0,1
3,5,159,0,1
10,0,116,0,0
10,0,159,0,0
10,0,116,0,0
10,0,116,0,0
3,0,128,7,1
0,0,138,0,1
4,0,116,0,1
2,0,4,0,1
0,0,138,0,1
0,0,138,0,0
2,0,138,0,0
14,0,17,0,0
14,0,0,0,1
11,5,127,0,1
11,5,127,0,1
11,5,128,0,1
25,0,17,0,0
11,24,10,0,1
11,16,118,8,1
11,8,118,6,1
0,0,138,0,0
13,8,15,0,1
13,8,116,0,0
13,2,15,0,0
13,2,15,0,0
13,0,134,0,1
13,2,15,0,1
13,8,15,0,1
13,5,116,0,1
13,0,136,0,1
0,0,138,0,1
12,0,15,0,0
12,0,136,0,0
12,0,116,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,0
0,0,138,0,0
2,0,138,0,1
21,0,0,0,1
21,16,0,0,1
3,0,119,0,0
0,0,138,0,1
0,0,138,0,1
0,0,138,0,1
0,0,138,0,0
0,0,138,0,0
0,0,138,0,1
0,0,134,0,1
11,16,10,0,0
25,8,0,0,1
25,0,0,0,1
11,8,10,0,0
11,3,128,0,1
11,8,128,2,1
11,8,128,3,1
11,2,127,0,1
0,0,138,0,0
13,0,17,0,0
13,0,0,0,0
13,2,15,0,0
13,5,116,0,1
13,2,15,0,1
13,16,134,1,1
13,3,134,0,1
13,8,15,0,1
13,8,116,0,1
13,5,116,0,1
13,0,15,0,1
13,0,134,0,1
13,0,15,0,1
0,0,138,0,1
0,0,138,0,1
12,8,134,0,0
26,0,0,0,1
26,16,0,0,1
12,3,116,0,0
12,5,116,0,0
12,2,116,0,0
12,0,15,0,0
0,0,138,0,1
0,0,138,0,1
8,0,127,0,0
8,0,127,0,0
8,0,128,0,0
8,0,128,0,0
8,0,128,0,0
8,0,127,0,0
8,0,128,0,0
8,0,127,0,0
0,0,138,0,0
0,0,138,0,0
10,0,0,0,0
7,0,127,0,0
7,0,15,0,0
0,0,138,0,0
0,0,138,0,0
5,0,15,0,0
0,0,138,0,0
0,0,138,0,0
4,0,128,0,0
1,0,10,0,1
0,0,138,0,0
0,0,127,0,1
3,0,134,0,1
3,0,134,0,1
25,0,17,0,0
25,16,0,0,1
25,8,0,0,1
11,8,10,0,1
11,5,128,0,1
11,5,127,0,1
11,8,128,1,1
11,5,128,0,1
11,8,128,0,1
11,5,128,2,1
11,3,127,0,1
25,16,118,0,1
11,16,118,8,1
25,8,118,11,1
46,8,118,4,1
13,2,116,0,0
27,2,136,0,0
13,0,136,0,1
0,0,17,0,1
0,16,0,0,1
13,16,15,0,0
13,8,15,0,0
13,2,15,0,0
13,16,15,0,1
13,16,15,0,1
13,5,15,0,1
0,0,138,0,1
2,0,15,0,0
2,0,15,0,0
0,0,138,0,0
8,0,159,0,0
1,0,15,0,1
1,0,15,0,1
0,0,0,0,1
0,0,0,0,1
1,0,118,7,1
1,0,118,2,1
0,0,138,0,1
7,0,116,0,0
7,0,159,0,0
7,0,159,0,0
7,0,0,0,0
7,0,140,0,1
7,0,116,0,0
14,2,108,0,1
0,0,118,4,1
23,0,138,0,1
0,0,0,0,0
0,0,0,0,1
0,16,0,0,1
11,0,169,0,1
11,5,169,0,1
11,8,169,0,1
11,8,169,0,1
11,8,127,0,0
11,3,15,0,0
11,16,0,0,1
11,5,118,3,1
11,5,118,0,1
11,3,118,2,1
0,16,0,0,1
0,0,0,0,1
3,0,159,0,0
10,0,108,0,0
3,0,116,0,0
3,0,116,0,0
9,0,108,0,0
2,0,116,0,0
2,0,128,3,1
0,0,138,0,1
8,0,108,0,1
8,0,118,0,0
1,0,159,0,0
0,0,138,0,1
28,0,140,0,0
28,0,140,0,0
0,0,0,0,1
0,0,0,0,1
-1,0,118,1,1
0,0,138,0,1
0,0,138,0,1
14,0,138,0,1
11,0,140,0,0
23,0,140,0,0
9,0,140,0,0
2,0,138,0,1
16,0,138,0,1
1,0,140,0,0
15,0,140,0,0
3,0,140,0,0
10,0,138,0,1
4,0,128,0,1
4,0,127,0,1
30,0,139,0,1
30,0,139,0,1
22,0,139,0,1
0,0,138,0,1
0,0,138,0,1
0,0,140,0,0
0,0,138,0,1
0,0,138,0,1
2,0,127,0,1
0,0,138,0,1
