intervalo,estimativa,Minutos,atrasado
11,5,199,0
11,2,90,0
0,0,255,1
11,8,480,1
11,0,1,1
18,16,949,1
14,3,90,0
10,0,236,1
14,5,300,1
11,2,146,1
11,2,60,0
0,0,53,1
9,3,180,1
1,0,225,1
13,3,220,1
11,0,328,0
11,8,2025,1
3,8,810,1
2,0,60,0
7,0,90,0
11,5,99,1
11,2,30,0
0,5,300,1
67,3,180,1
11,8,210,1
0,8,4108,1
0,0,270,1
0,0,120,1
11,5,180,1
8,0,34,0
2,0,420,0
9,0,330,0
11,5,300,1
31,17,1890,1
11,13,769,0
3,0,90,0
8,0,40,0
1,0,60,0
16,8,740,1
11,5,49,0
11,16,546,1
29,2,120,1
0,0,30,1
-3,0,180,1
0,0,631,1
4,0,30,0
31,8,616,1
8,0,625,1
4,8,180,1
3,0,120,0
0,0,65,1
7,0,20,1
10,5,191,1
10,0,540,0
8,0,205,0
0,0,225,0
11,2,60,1
7,0,135,0
4,0,57,0
0,0,570,1
0,0,229,1
7,8,749,1
-20,0,15,1
14,3,90,0
0,0,180,1
1,0,45,0
9,0,30,0
10,0,760,0
0,3,180,1
17,8,783,1
11,3,69,0
25,8,410,1
11,8,484,1
4,0,20,0
10,0,32,0
9,0,273,0
10,0,34,0
11,16,960,1
9,0,30,0
10,0,49,0
23,8,449,1
0,0,120,0
13,16,510,1
9,0,30,0
3,0,19,0
4,0,30,0
10,0,30,0
25,16,959,1
25,3,662,0
0,0,45,0
11,8,142,1
6,0,45,0
1,0,69,1
11,2,90,0
10,0,105,0
11,24,1795,1
7,0,2,0
11,5,300,1
11,2,120,1
0,8,426,1
4,0,60,0
9,0,445,0
1,0,510,1
8,0,95,0
0,0,60,0
0,0,44,1
0,0,240,1
13,2,90,0
0,0,20,1
11,8,410,1
0,0,60,0
4,0,90,1
10,0,90,0
9,2,429,0
12,0,30,0
11,5,367,0
1,0,30,0
11,3,105,0
14,5,450,1
3,0,69,1
13,0,90,0
8,5,240,1
8,0,150,1
14,2,90,1
1,0,15,1
10,8,655,1
1,0,154,1
7,0,125,0
11,0,145,0
7,0,180,0
11,3,324,0
0,0,60,0
58,16,829,1
7,0,120,0
11,5,165,1
23,8,611,0
4,0,290,1
8,0,80,0
2,0,20,0
5,0,28,0
11,8,225,1
3,0,180,1
22,8,480,0
11,8,150,1
14,2,15,0
4,0,5,0
11,3,410,1
3,0,311,0
-3,5,175,1
2,0,99,1
8,0,2630,0
8,0,240,0
25,2,148,0
11,2,120,0
1,0,120,1
11,8,360,1
8,0,20,0
8,5,60,1
2,0,60,0
10,0,30,1
10,0,90,0
7,0,30,0
9,16,1089,1
12,2,139,0
10,0,111,0
12,0,74,0
28,5,910,1
14,2,30,0
10,0,320,0
11,5,615,1
11,5,564,1
2,0,25,1
35,0,139,0
11,3,60,1
2,0,120,1
11,2,20,0
11,0,180,1
11,2,56,1
11,5,600,0
33,16,949,0
16,0,180,0
11,3,180,1
95,52,2069,1
11,4,240,0
10,3,240,1
9,2,60,0
10,2,26,0
16,3,180,0
25,8,360,0
1,0,120,0
4,0,40,0
0,0,49,1
1,0,105,1
11,5,180,1
4,0,60,0
2,0,300,1
13,0,450,1
1,0,480,1
10,0,131,1
109,2,139,1
4,0,30,0
7,0,20,0
7,0,5,0
9,0,40,0
0,16,600,1
11,0,255,0
2,0,181,1
14,8,300,0
1,0,570,1
12,0,34,0
0,0,484,1
10,16,1473,1
20,4,169,0
16,2,120,0
2,0,30,0
13,0,120,0
11,3,180,0
22,5,300,0
10,0,150,0
11,2,95,0
11,5,429,1
1,0,30,0
12,0,20,0
10,0,90,0
11,0,139,0
11,8,439,0
11,16,354,1
1,0,60,0
