id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
11742,14,0,1,0,0,480,0
13070,10,16,1,0,0,300,1
14985,2,0,1,1,0,480,1
16983,0,0,1,0,0,265,0
15655,2,0,1,0,0,120,0
23149,11,3,1,0,0,240,1
10763,11,3,1,0,0,235,0
11427,21,0,1,0,0,30,0
12970,0,0,0,0,0,660,1
12429,11,8,1,0,0,780,0
13757,11,5,1,5,0,240,1
14298,13,5,1,0,0,183,1
16296,9,0,1,0,2,154,0
22247,4,0,1,0,1,980,0
8201,1,0,1,0,0,60,0
9704,50,8,1,0,0,411,1
11619,11,24,1,23,0,2605,1
12778,11,16,1,0,0,895,1
12947,10,16,1,4,0,1150,1
16196,9,0,1,0,0,23,0
17693,3,0,1,0,0,140,1
17524,10,0,1,0,0,7,0
19021,11,0,0,0,0,695,1
22857,11,5,1,0,0,330,1
10932,13,0,0,0,0,644,1
12137,17,0,1,1,0,135,0
17006,11,0,1,0,0,1626,1
16883,0,8,0,1,0,132,1
21629,11,8,1,0,0,480,1
21752,10,0,1,0,0,123,0
23498,9,0,1,0,0,653,0
11828,14,3,1,1,0,405,0
17484,11,0,1,0,0,1007,1
16405,25,16,1,0,2,252,1
9017,15,3,1,0,0,234,0
12220,3,0,1,0,0,30,1
21669,8,0,1,6,0,780,1
10949,8,0,1,0,0,145,1
11281,109,8,1,8,0,510,1
14198,13,2,1,0,0,120,1
14281,11,3,1,0,0,100,1
15277,11,3,1,0,0,140,1
18526,8,0,1,2,0,60,1
22940,8,0,1,0,0,140,0
10262,2,0,1,0,0,420,1
14590,3,0,1,0,0,60,1
14676,24,5,1,0,0,246,1
14885,11,8,1,0,0,450,1
15217,11,5,1,0,1,325,0
15672,29,0,0,0,0,840,0
16213,8,0,1,0,1,95,1
16004,1,0,1,0,1,240,1
17676,11,16,0,0,0,591,0
19004,11,16,0,8,0,950,1
19213,11,3,1,0,0,285,0
19900,11,0,1,0,0,848,1
8433,3,0,1,0,0,30,0
9761,2,0,1,0,0,120,1
22253,4,0,1,0,1,221,1
10205,10,0,1,0,0,374,0
11533,9,10,1,0,0,795,1
12369,11,16,1,5,0,575,1
13697,2,0,1,0,0,20,0
15864,7,8,1,0,0,270,1
17192,11,5,1,0,0,257,0
18025,7,16,1,0,0,718,1
20192,4,0,1,0,0,40,0
11141,11,8,1,0,0,780,1
16256,11,0,0,0,0,906,1
16797,11,8,1,0,1,64,0
17092,7,0,0,0,0,90,1
18420,11,8,1,0,0,885,0
12320,2,0,1,0,0,70,0
15569,8,0,1,0,0,130,0
18320,10,0,1,0,1,489,0
13388,10,2,1,0,0,110,0
19339,11,5,1,0,0,120,0
20501,11,0,1,1,0,16,1
22044,2,0,1,0,0,580,1
12535,25,5,1,0,0,175,1
17441,2,0,1,0,0,177,1
18772,25,16,1,0,0,630,1
11516,14,16,1,7,0,1742,1
12512,0,0,1,0,0,200,0
18463,3,0,1,0,1,180,0
21168,0,0,0,0,0,195,1
7829,77,12,1,0,0,1594,0
9157,10,0,1,0,0,24,0
12993,3,0,1,0,0,526,1
16319,1,0,1,0,0,60,1
17570,9,0,1,0,0,58,1
18898,0,0,0,0,0,340,1
19568,3,0,1,0,0,110,0
23813,8,0,1,0,0,110,0
8470,11,5,1,0,0,285,0
13093,7,0,1,0,0,10,1
14304,13,16,1,0,0,1331,1
15632,10,0,1,0,0,108,0
18257,14,5,1,0,0,290,1
21583,0,0,0,0,0,470,1
22124,11,16,1,7,0,1070,1
10368,10,0,1,0,0,90,0
10786,10,0,1,0,0,60,0
11696,228,16,1,2,0,1230,0
17029,4,0,1,0,0,150,1
18357,1,0,1,0,0,102,1
21606,0,0,0,0,0,190,1
11596,0,0,1,0,0,122,1
12801,11,16,1,3,0,430,1
12924,11,2,1,3,0,205,0
16342,1,0,1,0,0,20,1
17670,4,0,0,0,2,30,1
8330,11,5,1,0,0,240,0
9658,11,5,1,3,0,360,1
12907,11,0,1,0,0,90,1
18065,11,8,1,0,0,625,1
18480,3,0,1,0,0,39,1
20982,0,0,1,0,0,120,1
21065,10,0,1,0,0,360,0
10345,11,2,1,0,0,110,0
11888,2,0,1,0,0,130,0
13216,9,0,0,0,0,74,1
13843,12,0,1,0,0,35,0
19167,8,0,1,0,0,30,0
21706,0,0,0,0,0,340,1
16050,14,3,1,0,0,180,1
