id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
23865,96,0,1,0,1,4,1
23866,96,0,1,0,0,6,1
23886,72,0,1,0,1,8,0
23913,336,8,1,0,0,3,1
23950,24,0,1,0,0,16,1
24004,264,3,1,0,0,3,0
24032,216,0,1,3,0,7,0
24092,96,0,1,0,0,8,0
24152,48,0,1,0,0,6,1
24182,24,0,1,0,0,8,1
24500,24,0,1,6,0,9,1
25208,2,5,1,0,0,6,0
25519,24,0,1,5,2,7,1
26137,264,0,1,0,0,4,0
