id,intervalo,estimativa,responsavel,totalsub,urgente,alta,tempoGasto,classe,Melhoria/Funcionalidade,Defeito,Tarefa,Defeito do Cliente,Cash,Task,Planejado,Não Planejado,Mobile,Backend,high,frontend,Planejada,Não Planejada,Outros
8786,10080,0,9.333333333333334,0,0,0,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8942,15840,960,6.0,0,0,0,600,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8943,15840,480,6.0,0,0,0,240,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8944,15840,300,6.0,0,0,0,145,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8945,15840,480,6.0,0,0,0,360,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8950,15840,0,0,0,0,0,255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8951,15840,0,0,0,0,0,255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8952,15840,960,8.666666666666666,0,0,0,1920,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9401,15840,480,0,0,0,0,915,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9418,15840,180,9.333333333333334,0,0,0,180,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9419,15840,180,6.0,0,0,0,180,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9420,15840,480,9.333333333333334,0,0,0,900,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9421,15840,960,6.0,0,0,0,1410,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9426,15840,0,6.0,0,0,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9427,15840,0,7.333333333333333,0,0,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
